label,nodeType,order,path,price,description,link,imageLink,Swiggy
Black Current Thick Shake Medium,ProductUnit,44,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Black Current Thick Shake,",60,,https://drive.google.com/file/d/1gdwFgGp6hLTFvwGZrNMCCCG50pZq-Qpn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/BlackCurrentThickShakeMedium.jpeg,
Black Current Thick Shake Large,ProductUnit,45,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Black Current Thick Shake,",70,,https://drive.google.com/file/d/1UB1UvseV-Z0wkD5ln6bm2L9J__LKyZHR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/BlackCurrentThickShakeLarge.jpg,
Orange Thick Shake,ProductType,46,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1PsfrslLr_24CpFezlnXb9EWSRosM4kOq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/MAYFILES/OrangeThickShake.jpg,80
Orange Thick Shake Medium,ProductUnit,47,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Orange Thick Shake,",60,,https://drive.google.com/file/d/1PX1WzYWcTiItGCclHKwUWXNXUkNyhuIW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/OrangeThickShakeMedium.jpg,
Orange Thick Shake Large,ProductUnit,48,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Orange Thick Shake,",70,,https://drive.google.com/file/d/1QAJk4fGzNeJWRqDPNo24vLWxcd9EP4oY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/OrangeThickShakeLarge.jpg,
Tutty Fruity Thick Shake,ProductType,49,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1VCz45q1R3PLGm1F-GSUw4MoUqUIu0pG7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tutty-Fruity-Thick-Shake.jpg,
Tutty Fruity Thick Shake Medium,ProductUnit,50,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Tutty Fruity Thick Shake,",60,,https://drive.google.com/file/d/1rc8_HAFv8K63hPdKfLUDTQl5rchAq0b_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/TuttyFruityThickShakeMedium.jpg,
Tutty Fruity Thick Shake Large,ProductUnit,51,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Tutty Fruity Thick Shake,",70,,,,
Butterscotch Thick Shake,ProductType,52,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,",70,,https://drive.google.com/file/d/1JaXuC5WcExiILumlMfdG-R8Oa65vR5UB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ButterScotchThickShake.jpg,80
Butterscotch Thick Shake Medium,ProductUnit,53,"Inventory,Food,Restaurant,Thick Shake,Vegeterian,Butterscotch Thick Shake,",60,,https://drive.google.com/file/d/1O7SZiTef9ABLnlCJKMndgVykQ3G5O1xr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/ButterscotchThickShakeMedium.jpg,
