label,nodeType,order,path,price,link,imageLink,Swiggy,description
Cappuccino Small,ProductUnit,3,"Inventory,Food,Restaurant,Beverages,Vegeterian,",29,https://drive.google.com/file/d/1RZ7hmgM1-4-wursTYZtBDsSXEhxLuzoJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CappuccinoSmall.jpg,,
Cappuccino Big,ProductUnit,4,"Inventory,Food,Restaurant,Beverages,Vegeterian,",49,https://drive.google.com/file/d/1IDyKP-oxE5QbbzYm8p-YpLvUwtZa0Sik/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CappuccinoBig.jpg,,
Cafe Latte,ProductType,5,"Inventory,Food,Restaurant,Beverages,Vegeterian,",59,https://drive.google.com/file/d/1kHLaQr2YXj3aVrXiIhqpTbt-3peRqww8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/CaféLatte.jpg,,
Cafe Latte Small,ProductUnit,6,"Inventory,Food,Restaurant,Beverages,Vegeterian,",39,https://drive.google.com/file/d/1qzIwzbC-Hz3qpR6yTlHEFwGYhaHliXCG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CaféLatteSmall.jpg,,
Cafe Latte Big,ProductUnit,7,"Inventory,Food,Restaurant,Beverages,Vegeterian,",59,https://drive.google.com/file/d/1qZOCE0KiCiBPIghzxxpk0r-kEEqZWe6P/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/CaféLatteBig.jpg,,
Hot Chocolate,ProductType,8,"Inventory,Food,Restaurant,Beverages,Vegeterian,",59,https://drive.google.com/file/d/1xdtXyic3BIoin2Z83htq4TfnveqmCMFz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotChocolate.jpg,,
Hot Chocolate Small,ProductUnit,9,"Inventory,Food,Restaurant,Beverages,Vegeterian,",49,https://drive.google.com/file/d/1RBIkOwRjht1D5st5LT-dMb_RcU_gZD_W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotChocolateSmall.jpg,,
Hot Chocolate Big,ProductUnit,10,"Inventory,Food,Restaurant,Beverages,Vegeterian,",59,https://drive.google.com/file/d/1buNNjA5099xpNXlj4OO5kkKW3eGM5ZzP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotChocolateBig.png,,
Hot Bournvita,ProductType,11,"Inventory,Food,Restaurant,Beverages,Vegeterian,",69,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food1/HotBournvita.jpg,,
Hot Bournvita Small,ProductUnit,12,"Inventory,Food,Restaurant,Beverages,Vegeterian,",49,https://drive.google.com/file/d/1Txx7wqoNN41kuZ4cu5pd5A_mrdJMrji6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HotBournvitaSmall.jpg,,
