label,nodeType,order,path,price,description,ingredients,link,imageLink
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Main Course,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Main Course,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Chicken Masala,ProductType,4,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,"  Chicken,  coriander powder, onions thinly sliced,  Garlic paste,salt ,  ghee,  water,  ghee,  Yoghurt,  Ginger Paste,  red chilli powder,
  finely chopped,  Garam masala powder,  turmeric,etc.",https://drive.google.com/file/d/16eM27vE_lLNM8GKZT5a35PjfaUi0laY9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMasala.jpg
Chicken Maharaja,ProductType,5,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,," chicken,   fresh cream,  puree,  butter,  kasturi methi,   garam  masala,Salt ,   curd,  each  garlic paste, ginger paste.",https://drive.google.com/file/d/1WaUnrjrXIZcc7tzb-r8CiW8NrYFq_m0_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenMaharaja.jpg
Chicken Kurma,ProductType,6,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,"  boneless skinless chicken breasts,  extra virgin olive oil,  garam masala,  curry powder,  salt,  freshly ground black pepper,etc",https://drive.google.com/file/d/1BSawMwL60jfNk4ePsWeN_yDb8A61G4fT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenKurma.jpg
Chicken Kolhapuri,ProductType,7,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,"  chicken,   poppy seeds, finely chopped onion, handful chopped coriander leaves,  chilli powder,   garlic paste,  garam masala powder,   sesame seeds,  powdered turmeric, large chopped ma,salt ,   ginger paste,
  grated coconut,  refined oil.",https://drive.google.com/file/d/1bWc_W7DKNzxS53IXTgHDSqj4gfK3f2wm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKolhapuri.gif
Chicken Patiala,ProductType,8,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,,https://drive.google.com/file/d/1urDvk0ZDWdl_BFdhkulJbcMen-NMHF-h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/ChickenPatiala.jpg
Chicken Curry,ProductType,9,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,"  Chicken,  coriander powder, onions thinly sliced,  Garlic paste,salt ,  ghee,  water,  ghee,  Yoghurt,  Ginger Paste,  red chilli powder,
 finely chopped,  Garam masala powder,  turmeric,etc.",https://drive.google.com/file/d/1dU5-tSB4k1PcuEGJMCv4sWBNDgUrp2y5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry.jpg
Chicken Afghani,ProductType,10,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",140,,"  skinless chicken,
   garlic paste,  lime juice,  cheese spread,   ginger paste,  fresh cream,
  cashew nut paste,salt , egg.",https://drive.google.com/file/d/1qJ5Y_kEkrXHeLvO_o_PcMk3Aw0WTnZ_v/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenAfghani.jpg
Chicken Zaika,ProductType,11,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,,https://drive.google.com/file/d/19y-O4bNSR9Pzdbu2ieh9NEgWMkVEn0MK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChickenZaika.jpg
Chicken Mughlai,ProductType,12,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,"  chopped chicken boneless,
  red chilli powder,  coriander powder,  turmeric,   powdered almonds,  garlic paste,  fresh cream,salt , handful coriander leaves,  ghee,  kasoori methi leaves,
  cumin powder,  coconut powder,  ginger paste,  onion ma masala,  khoya,  black pepper.",https://drive.google.com/file/d/1pMnfMUF0vm7uxteEncpqo-ah9Zh9VB37/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/ChickenMughlai.jpg
Chicken Peshawari,ProductType,13,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,,https://drive.google.com/file/d/1yx0diz5LQWOI4kdBPgufqPXNC0jucoqT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenPeshawari.jpg
Chicken Deheli,ProductType,14,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,,,
Chicken Lakhnavi,ProductType,15,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,,https://drive.google.com/file/d/1ziCH8sESOLumiXwLttjqF_QS5fMPoqkI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChickenLakhnavi.jpg
Chicken Hyderabadi,ProductType,16,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,"  chicken,  grated onion,  cashews,  ginger paste, clove,  cinnamon stick,  grated nutmeg,  lime juice,  refined oil, coconut,  yoghurt curd,  sesame seeds,  garlic paste, green cardamom,",https://drive.google.com/file/d/1v4gBn4uLZGTEhpGbM-qIe35AV4AXhdBO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenHyderabadi.jpg
Chicken Jaipuri,ProductType,17,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",180,,,https://drive.google.com/file/d/1fEJ8c3k0oGN4Jst4yEfi-hzbrMfHQZzo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChickenJaipuri.jpg
Chicken Irani,ProductType,18,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"  ginger paste,  garlic paste,  powdered black pepper,  cinnamon,salt ,  chicken boneless,  refined oil,  green cardamom.",https://drive.google.com/file/d/1Ylyd08drI32yBrDSIsx6x1Ibfjtq5dSM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food04182022/ChickenIrani.jpg
Chicken Stew,ProductType,19,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"  chicken, onion, carrot,   wheat flour,  milk,salt , cloves garlic, pota, bean green,  chicken stock,  powdered black pepper,  butter.",https://drive.google.com/file/d/1ZLTnXsQIsOPUg8SNByN71Ca4NzzKtot9/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food161719062022/ChickenStew.jpg
Chicken Chatpata,ProductType,20,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,,https://drive.google.com/file/d/1jSvbzJcviOtx3MCJZ17Kkk-eiOMPL68f/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food122021/ChickenChatpata.jpg
Chicken Kadai,ProductType,21,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"  black peppercorns,  coriander seeds,  cumin seeds,  ghee, bay leaf, onions chopped, garlic cloves minced,  ginger minced,  salt,  Kashmiri chili powder,  skinless chicken thighs cut in quarters,  garam masala.",https://drive.google.com/file/d/1C8cxqgdypW9jEspNKDp3OcfYHm85b71r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKadai.jpg
Chicken Achari,ProductType,22,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",170,,"  chicken,
  garlic paste,  turmeric,   red chilli powder,  mustard seeds,  fenugreek seeds,  fennel seeds,
  refined oil,  yoghurt curd,  onion,  ginger paste, red chilli,  cumin seeds,  nigella seeds, salt.",https://drive.google.com/file/d/1s9Anoj15yB-x5QBqqlEW71OBfvKGF_qE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220828/ChickenAchari.jpg
Chicken Do Pyaza,ProductType,23,"Inventory,Food,Restaurant,Main Course,NonVegeterian,",200,,,https://drive.google.com/file/d/14DgQllXqPMRSGgI7fVakkwEZELoMm5IK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/ChickenDoPyaza.jpg
