label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Noodles.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Noodles,",,,,,,
Veg Hakka Noodles,ProductType,4,"Inventory,Food,Restaurant,Noodles,Vegeterian,",190,,https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg,,
Schezwan Noodles,ProductType,5,"Inventory,Food,Restaurant,Noodles,Vegeterian,",190,,https://drive.google.com/file/d/18mRtY1WH0owVL-322PHRxXJadtxCVAmA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Noodles.jpg,,
Singapore Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,Vegeterian,",190,,https://drive.google.com/file/d/1r4SD_FFH39l5X-ia5fH_YwbeOFxb0DT7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2/SingaporeNoodles.jpg,,
Mushroom Noodles,ProductType,7,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,https://drive.google.com/file/d/1LpIuh6Qae06blbHRIf-nqM0OwPDvM-CP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomNoodles.jpg,200,200
Mix Veg Fried Noodles,ProductType,8,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,https://drive.google.com/file/d/1Tyu3g4PKHm73pKPSnHnxCEkE4jjdoMtW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/MixVegFriedNoodles.jpg,,
Hong Kong Noodles,ProductType,9,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,https://drive.google.com/file/d/199nUkc2DclE0ClTfmLMUEZDXtkwoGcdl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/HongKongNoodles.jpg,200,200
Veg Chowmein,ProductType,10,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,https://drive.google.com/file/d/1xHnZtU3dnK2jO_uEXX9mxyzKO411UxhW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/VegChowmein.jpg,,
Chinese Chopsuey,ProductType,11,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,https://drive.google.com/file/d/15Fy26Ag3zxvUh1GPFbgMJs_CKPB1YRVE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChineseChopsuey.jpg,200,200
American Chopsuey,ProductType,12,"Inventory,Food,Restaurant,Noodles,Vegeterian,",200,,https://drive.google.com/file/d/1ET8UtZ5YsWqeLbVbBPZOJWthJrRHiy1L/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AmericanChopsuey.jpg,200,200
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Chinese,",,,,,,
Schezwan Fried Rice,ProductType,4,"Inventory,Food,Restaurant,Chinese,Vegeterian,",190,,https://drive.google.com/file/d/1pzlv1pfwO8wxMZK_QafdR3WMCB7-bejE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Fried-Rice.jpg,190,190
Singapore Fried Rice,ProductType,5,"Inventory,Food,Restaurant,Chinese,Vegeterian,",190,,https://drive.google.com/file/d/1O9yYVupASm7esfCEV_2WYgYLmOmmcJTy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/SingaporeFriedRice.jpg,190,190
Mushroom Fried Rice,ProductType,6,"Inventory,Food,Restaurant,Chinese,Vegeterian,",210,,https://drive.google.com/file/d/1ug9oS8LJ95Dkj08WP98vHH878TYsVFA6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomFriedRice.jpg,,
Triple Schezwan Fried Rice,ProductType,7,"Inventory,Food,Restaurant,Chinese,Vegeterian,",220,,https://drive.google.com/file/d/1iRF6t_C5zE73vYevUHaTqTMwYH42c35u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TripleSchezwanFriedRice.jpg,220,220
Hong Kong Fried Rice,ProductType,8,"Inventory,Food,Restaurant,Chinese,Vegeterian,",200,,https://drive.google.com/file/d/1u6nvWYyQMuFXIq-1Wj7YCkhI0mLNBE12/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/HongkongFriedRice.jpg,,
Veg Fried Rice,ProductType,9,"Inventory,Food,Restaurant,Chinese,Vegeterian,",190,,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,190,190
Stew Rice,ProductType,10,"Inventory,Food,Restaurant,Chinese,Vegeterian,",210,,https://drive.google.com/file/d/1xV8DFq6-ET05oZ0C18tNYHrnTvTgbMDH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/StewRice.jpg,210,210
Combination Rice,ProductType,11,"Inventory,Food,Restaurant,Chinese,Vegeterian,",200,,https://drive.google.com/file/d/1x1pF1QrtvnxmUJqQFQQpk0oPmQYeQgLf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food22240622/CombinationRice.jpg,,
Pav Bhaji,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pav Bhaji,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Pav Bhaji,",,,,,,
Pav Bhaji,ProductType,4,"Inventory,Food,Restaurant,Pav Bhaji,Vegeterian,",90,,https://drive.google.com/file/d/1k_uUCECpwnv5CmChzGwV97KAx-OjujZx/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PavBhaji.jpg,90,90
