label,nodeType,order,path,price,description,Ingredients,link,imageLink
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Extra,",,,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Pav,ProductType,4,"Inventory,Food,Restaurant,Extra,Vegeterian,",5,,,https://drive.google.com/file/d/1c8R40rdT2aLvi6tw2ybKbt8FpFfSLyzf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food240522/Pav.jpg
Dahi Vati,ProductType,5,"Inventory,Food,Restaurant,Extra,Vegeterian,",15,,,https://drive.google.com/file/d/1GVikCWOFOI_L3jOJ5DdAT-uVf3HIgX6s/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DahiVati.jpg
Farsan,ProductType,6,"Inventory,Food,Restaurant,Extra,Vegeterian,",15,,, ,
Papad,ProductType,7,"Inventory,Food,Restaurant,Extra,Vegeterian,",15,,"Raw rice ,Ginger,green chilly,
ajwan seeds ,  Salt to taste",https://drive.google.com/file/d/16hT2z2acPZOT8kC3lLy6aGyloDfdTzJO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Papad.jpg
Jelabi single,ProductType,8,"Inventory,Food,Restaurant,Extra,Vegeterian,",15,,,https://drive.google.com/file/d/1A_YgJn4QR6jOcDTz556VbehcksmdGKZC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220907/Jelabisingle.jpg
Bhakri,ProductType,9,"Inventory,Food,Restaurant,Extra,Vegeterian,",30,,,https://drive.google.com/file/d/1O4dKHty1zRDPS-v-HHW8vIZiA1VS1d1Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodinventoryimages1112062022/Bhakri.jpg
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,;.,
1,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,                  ,,,,,
,,, ,,,,,
