label,nodeType,order,path,price,description,ingredients,link,imageLink
Schezwan Rice,ProductType,14,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",75,,"basmati rice  cups,Onion,finely chopped  nos,
Ginger Garlic Paste  tsp,Cabbage / cups,
Carrot Chopped(optonal)  nos,French beans / cups,
Soy Sauce  tsp,Schezwan Sauce  tsp,
Pepper Powder / tsp,Sesame Oil  tsp",https://drive.google.com/file/d/1GKO3YVjZ7d_a-_WJkiE7mWyZFQFK7k-u/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Rice.jpg
Veg Hakka Noodles,ProductType,15,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",65,,#NAME?,https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg
Schezwan Noodles,ProductType,16,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",75,," gms Plain Noodles,- cloves of Garlic, finely chopped (approx. / tablespoon),/ inch Ginger, finely chopped (approx.  teaspoon),
 small Onion or - Spring Onion, finely chopped (approx. / cup),
/ cup shredded Cabbage,/ cup chopped Capsicum,
/ cup finely chopped Carrot,/ cup finely chopped French Beans (green beans), tablespoons Schezwan Sauce (or to taste) upto  Tablespoons,
 teaspoon White Vinegar,/ teaspoon Black Pepper Powder",https://drive.google.com/file/d/18mRtY1WH0owVL-322PHRxXJadtxCVAmA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Noodles.jpg
Paneer Cheese Noodles,ProductType,17,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",85,,"gm - Paneer,gm - Noodles,
tsp - Kashmiri Red Chili Powder,tsp - Ginger-Garlic Paste,
tsp - Tomato Sauce,tbsp - Salt(as per taste),
tsp - Soya Sauce,-tbsp - Corn Flour,
cup - oil to fry(as per requirements),/cup - Water(as per requirements)",https://drive.google.com/file/d/18_5FEspXl9PaKRsMoQmARHaEYgrxMCRI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20102022/PaneerCheeseNoodles.jpg
Mushroom Noodles,ProductType,18,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",95,,,https://drive.google.com/file/d/1LpIuh6Qae06blbHRIf-nqM0OwPDvM-CP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomNoodles.jpg
Finger Chips,ProductType,19,"Inventory,Food,Restaurant,Veg Chinese,Vegeterian,",75,," Big sized potato ( finger chopped),Oil gm for deep fry,
Salt / tsp,Black pepper / tsp.",https://drive.google.com/file/d/1WqsZvM7FYMNNTf5L-ia1UO8zPhtnxOAt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/FingerChips.jpg
Italian Dishes,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1H3EBKWqk7_oQz6SyIsUuDfLeIj9_xGag/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20102022/ItalianDishes.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Italian Dishes,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Italian Dishes,Vegeterian,",,,,,
Veg Burger,ProductType,4,"Inventory,Food,Restaurant,Italian Dishes,Vegeterian,",105,," tea spoon of turmeric,/ cup breadcrumbs,
/ tsp chilli powder, tbsp vegetable oil for frying,
/ tsp Cumin powder,/ tsp of black pepper,
/ tsp salt,/ tsp ginger garlic paste,
 tbsp maida, tbsp corn flour",https://drive.google.com/file/d/1d4T4ocGTOibUjikI_CZrc4fkIRChDq8d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Burger.jpg
