label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato,description
Soyabean Curry,ProductType,22,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,"  soya chunks,  oil,  cumin seeds  jeera, bay leaf  tej patta,turmeric powder  haldi, inch cinnamon stick  dalchini, onion (finely chopped),salt ,  kashmiri chilli powder  lal mirch powder,  coriander powder  dhaniya powder,  curd  yogurt (fresh),  water,  kasuri methi  dry fenugreek leaves,",https://drive.google.com/file/d/1AVv8NndPGziAvXDCjjR6-5BJVlMFF0Ug/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Soyabean-Curry.jpg,,,
Mix Veg,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,"  Chopped Potatoes,  Chopped Cauliflower,  Chopped Carrots,  Chopped French Beans,  Chopped Capsicum (Green Bell Peppers),  Green Peas,  Onion,  Sized Tomatoes, Green Chillies, Cloves of Garlic, Inch Piece of Ginger, Cashews,  Cream or   Milk,  Cumin Seeds",https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,,140,
Veg Kolhapuri,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,"Tomatoes finely chopped  ,ginger garlic paste  ,Coriander seeds  ,Whole garammasala: Cardamom  ,cloves  ,cinnamon  ,shahi jeera  ,star anise  ,black peppers  ,javetri,  ,tej pata  ,poppy seeds  ,Cashews( soaked)  ,watermelon seeds( soaked)  ,turmeric PD  ,dry grated Coconut  s",https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,,,
Veg Bhuna Masala,ProductType,25,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1PQ8dE0FOCoKUFTA9GwuYU5YopYhlI9ZJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegBhunaMasala.jpg,,160,
Mushroom Masala,ProductType,26,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,,160,
Mushroom Curry,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,"  Mushroom , Onion, chopped,  Ginger, chopped,  Garlic, chopped, Tomato, chopped,Green chillies, chopped,A pinch of Turmeric Powder, Red Chilli Powder, Salt,  Chaat Masala,Refined Oil.",https://drive.google.com/file/d/1r9RXtGwlLQ3Qs2ZB6R9GZL_2gt7Q4RGV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomCurry.jpg,,150,
Kaju Curry,ProductType,28,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,"  cashews  ,  Butter,.  chopped tomatoes, tej patta ,water, to  cashews,  Ginger Garlic Paste, or  green chilies, kashmiri red chili powder, Garam Masala, to water,  Butter, to  sugar,  kasuri methi, to   chopped coriander leaves,salt .",https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg,,160,
Kaju Masala,ProductType,29,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,"wheat flour  ,oil  ,Jeera,ajwain and salt  ,Oil for frying  ,Masala : Chaat masala  ,maida  ,rava  ",https://drive.google.com/file/d/1jk05_NhTywUDWFYjKrbLV45fLqWAkGm0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuMasala.jpg,,170,
Veg Khima Curry,ProductType,30,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,,https://drive.google.com/file/d/1KlViP_uqs62PHxMT6lyhSP7plKnLOYaC/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VegKhimaCurry.jpg,,,
Veg Gravy,ProductType,31,"Inventory,Food,Restaurant,Entree,Vegeterian,",80,,https://drive.google.com/file/d/14k3LYQZH0x-5SoBQ5ts-98VtyWQDpkgv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Gravy.jpg,,,
