label,nodeType,order,path,price,ingredients,link,imageLink,description
Chicken Hakka Noodles Full,ProductUnit,5,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Hakka Noodles,",60,"Millet Noodles, Chicken breasts,Onion,Green Bell Pepper,Carrot,Garlic,Red Chilli sauce,Salt ,Black pepper powder",https://drive.google.com/file/d/1RwZJOzUVrWP7EdvqdSkdx9XcWqhO77Xr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHakkaNoodles.jpg,
Chicken Schezwan Noodles,ProductType,6,"Inventory,Food,Restaurant,Noodles,NonVegeterian,",75,"Hakka noodles,boneless chicken breast,carrot,sized green and red capsicums,schezwan sauce,soy sauce,pepper powder,salt",https://drive.google.com/file/d/1usXndyIWtN7LDw77MfqQXnUk4yVEPBdv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanNoodles.jpg,
Chicken Schezwan Noodles Half,ProductUnit,7,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Schezwan Noodles,",40,"Hakka noodles,boneless chicken breast,carrot,sized green and red capsicums,schezwan sauce,soy sauce,pepper powder,salt",https://drive.google.com/file/d/1wYPRo8m3M1kDuUrGpXsCiSv62Dj7ZmBK/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanNoodlesHalf.jpg,
Chicken Schezwan Noodles Full,ProductUnit,8,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Schezwan Noodles,",75,"Hakka noodles,boneless chicken breast,carrot,sized green and red capsicums,schezwan sauce,soy sauce,pepper powder,salt",https://drive.google.com/file/d/1vSTsfhvVFoONulYDOLtyawCkczRSUpTc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSchezwanNoodlesFull.jpg,
Chicken Singapur Noodles,ProductType,9,"Inventory,Food,Restaurant,Noodles,NonVegeterian,",90,"whole chicken,cloves garlic, green onions, garlic, minced, cucumber, thinly sliced,long Noodles",,,
Chicken Singapur Noodles Half,ProductUnit,10,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Singapur Noodles,",45,"whole chicken,cloves garlic, green onions, garlic, minced, cucumber, thinly sliced,long Noodles",https://drive.google.com/file/d/17KxF8pkzaUVvaMi7pZXB3op6WjNuHYP6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapurNoodlesHalf.jpg,
Chicken Singapur Noodles Full,ProductUnit,11,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Singapur Noodles,",90,"whole chicken,cloves garlic, green onions, garlic, minced, cucumber, thinly sliced,long Noodles",https://drive.google.com/file/d/1zFiYG5JjSsZhOm2h_grQ4BcJJJsJExSG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenSingapurNoodlesFull.jpg,
Chicken Hongkong Noodles,ProductType,12,"Inventory,Food,Restaurant,Noodles,NonVegeterian,",90,"cooked Noodles,french beans,carrot,capsicum,onion,peppercorn, chicken",,,
Chicken Hongkong Noodles Half,ProductUnit,13,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Hongkong Noodles,",45,"cooked Noodles,french beans,carrot,capsicum,onion,peppercorn, chicken",https://drive.google.com/file/d/1zHsl7iyO4EQMg52wQo_Rg2A5fjYZ_-Y1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongkongNoodlesHalf.jpg,
Chicken Hongkong Noodles Full,ProductUnit,14,"Inventory,Food,Restaurant,Noodles,NonVegeterian,Chicken Hongkong Noodles,",90,"cooked Noodles,french beans,carrot,capsicum,onion,peppercorn, chicken",https://drive.google.com/file/d/1E8RnbNiuPURsTV_nnNgPJ_CSNe17L-9h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHongkongNoodlesFull.jpg,
