label,nodeType,order,path,price,description,link,imageLink,Zomato,Swiggy
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Combos,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Kids Combo,ProductType,4,"Inventory,Food,Restaurant,Combos,Vegeterian,",189,,,,,
Sharing Combo A,ProductType,5,"Inventory,Food,Restaurant,Combos,Vegeterian,",349,,,,,
Sharing Combo B,ProductType,6,"Inventory,Food,Restaurant,Combos,Vegeterian,",489,,,,,
Desserts,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Desserts.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Desserts,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Vanila Ice Cream,ProductType,4,"Inventory,Food,Restaurant,Desserts,Vegeterian,",30,,https://drive.google.com/file/d/1ft5XtMxkzEda406-fIO0XBrbAHsOXfle/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/VanilaIceCream.jpg,,
Mango Mousse,ProductType,5,"Inventory,Food,Restaurant,Desserts,Vegeterian,",60,,https://drive.google.com/file/d/1X5bEbOFO9vt6ytIvOouReZGkMsN8H2Ue/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/MangoMousse.jpg,,
Strawberry Mousse,ProductType,6,"Inventory,Food,Restaurant,Desserts,Vegeterian,",60,,https://drive.google.com/file/d/1as5rKMWSGCc2z3X5f4VP5WvJnFhvQHnW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/StrawberryMousse.jpg,,
Choco Walnut Brownie,ProductType,7,"Inventory,Food,Restaurant,Desserts,Vegeterian,",60,,https://drive.google.com/file/d/1cYBt-KLYx6iKTM3VXRl4G-1exSISE_TZ/view?usp=sharing,,,60
Choco Walnut Brownie With Ice Cream,ProductType,8,"Inventory,Food,Restaurant,Desserts,Vegeterian,",100,,https://drive.google.com/file/d/1mI06eLHar7-DeVj1ItvumWGHy-QET5O9/view?usp=sharing,,,
Sizzling Brownie,ProductType,9,"Inventory,Food,Restaurant,Desserts,Vegeterian,",150,,https://drive.google.com/file/d/1K7PbfALMY5oz19lEMHK0koFnT01cFGqm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sizzling-Brownie.jpg,,
Wraps,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/1MEXqjSi80skahWCBgKJT4SEYY-KxcvvT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/Wraps.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Wraps,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Wraps,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Veg Wrap,ProductType,4,"Inventory,Food,Restaurant,Wraps,Vegeterian,",89,,https://drive.google.com/file/d/1Pp3yU3Wt5pXXy6GcxBzmNMpzDph432xE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220511/VegWrap.jpg,,
Paneer Wrap,ProductType,5,"Inventory,Food,Restaurant,Wraps,Vegeterian,",119,,https://drive.google.com/file/d/1PFeti-jgQVAn3JwrYIWEzrv3HPq6EXQ7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220506/PaneerWrap.jpg,,
Cups,ProductClass,1,"Inventory,Food,Restaurant,",,,,,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Cups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Cups,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,
Corn Cup,ProductType,4,"Inventory,Food,Restaurant,Cups,Vegeterian,",40,,,,49,40
T2 Corn Cup,ProductType,5,"Inventory,Food,Restaurant,Cups,Vegeterian,",40,,https://drive.google.com/file/d/1pkaQH_uOtihov4Hvw23H3gnmD0imzYUe/view?usp=sharing,,55,40
Masala Corn Cup,ProductType,6,"Inventory,Food,Restaurant,Cups,Vegeterian,",45,,https://drive.google.com/file/d/1_NUQz9fTh-gMbz9mZbdkpWoaW5sAr7Do/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/MasalaCornCup.jpg,55,45
Cheese Corn Cup,ProductType,7,"Inventory,Food,Restaurant,Cups,Vegeterian,",50,,https://drive.google.com/file/d/1xzk0HxxGXtHrRVMN3tHSQ7d0_yqSmR8w/view?usp=sharing,,59,50
T2 Cheese Corn cup,ProductType,8,"Inventory,Food,Restaurant,Cups,Vegeterian,",55,,https://drive.google.com/file/d/14vCFVWZNFVi59n6mLomljH4dSirlR-ih/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220524/T2CheeseCorncup.jpg,65,55
