label,nodeType,order,path,price,link,imageLink,description
Dal Kolhapuri,ProductType,7,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1xrOq7mnzkFDeljYtoKkbDC4HMKFbZsJH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKolhapuri.jpg,
Dal Makhani,ProductType,8,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1bx4zFB3n5TKpwLaxvoc2JGDgMQI_4sWj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalMakhani.jpg,
Dal Handi,ProductType,9,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/19iyf85No3vBP-YNxf4WU6ObDLQY_EMqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/DalHandi.jpg,
Dal Panchangi,ProductType,10,"Inventory,Food,Restaurant,Entree,Vegeterian,",160,https://drive.google.com/file/d/1Tu4QNmV6aH1Y0iRLRieuZoRYpWEE4wS8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/DalPanchangi.jpg,
Dal Bukhara,ProductType,11,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1vLnfj9nd8u2Fpdc6H5MUUDV8F6YIRFtu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/DalBukhara.jpg,
Sev Bhaji,ProductType,12,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/11FdfisCizLwICaPK_JTJ6NTS0iXA8WSw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/SevBhaji.jpg,
Bhindi Masala,ProductType,13,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1HIwvDafJayE5P3VbFN1Wyb3pRun4tqY3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BhindiMasala.jpg,
Jeera Aloo,ProductType,14,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1exhdLBCM3W3AL9Csd7Q-euCOXal8kttE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraAloo.jpg,
Aloo (Mutter Gobhi),ProductType,15,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1R8xsbe0oCDVnLC_IuK9tbRbWZ1dA4qi6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/AlooMutterGobhi.jpg,
Pakoda Kadhi,ProductType,16,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,https://drive.google.com/file/d/1YY6NnbesNzFomFS-Qd_q6F-dMX-xijdL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/PakodaKadhi.jpg,
