label,nodeType,order,path,price,link,imageLink,description
Gobi Tamata,ProductType,23,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1_5tEcz6753WCtN-qUukI_mOWWBW5AWXB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/GobiTamata.jpg,
Gobi Rassa,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/19rnZ3nlMo9NLlgduEaiV2LVx3B7F2M3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiRassa.jpg,
Besan Takda,ProductType,25,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1fhORwyxMvMb0s7aoYCFcyj44ynWVRkkz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BesanTakda.jpg,
Besan Sada,ProductType,26,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,,
Besan Veg,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1-BoRj-Kc-wQQ7z0g94h0T22Vzx71haxh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BesanVeg.jpg,
Tawa Besan,ProductType,28,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1CArwuE_kuHJJKpUhuQUQ0YQrQFCgiwhH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Besan.jpg,
Shev Bhaji,ProductType,29,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Chana Masala,ProductType,30,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,
Vatana Masala,ProductType,31,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1aGDW-xpAwamJckW19yS_RKxYaaxGATfh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/VatanaMasala.jpg,
Matki Masala,ProductType,32,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1Rkde83_ZidHQIBT5A9z34-kzUFm4EJNb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MatkiMasala.jpg,
Bhendi Rassa,ProductType,33,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1T1hZR2sfJ75HJ2kfMU2lowzrP_RkPcK_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BhendiRassa.jpg,
Methi Masala,ProductType,34,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1dErgRMsOVhFdohv1aCOlsQvMfilDWgAc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiMasala.jpeg.crdownload.jpg,
Methi Sukhi,ProductType,35,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1BiJxElWby2vY9_-HLaxtlVQVjM31u9Tb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MethiSukhi.jpg,
Veg Kofta,ProductType,36,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1Mvg_zicUKWbqy17-QkdNaNjk6pwcqvxT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kofta.jpg,
Plain Palak,ProductType,37,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1l_lWdGT9y7iznTgTKp31G5fzJjHu45Uv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PlainPalak.jpg,
Lasoon Palak,ProductType,38,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1PJ2Kb8OSnLA1WoljNUrl7FlNRhC1Vl0x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/LasoonPalak.jpg,
Palak Tamata,ProductType,39,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1UyqZH3E62rmvnTC_rYagt94Gjpr1dDeA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakTamata.jpg,
Palak Aloo,ProductType,40,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1ztxS0XQEL8dx_pTkx5g75JXKklFDdECk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PalakAloo.jpg,
Dahi Chatney,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1MF0cERlsTizT5TeqG8vvMO1ZrpI1rXdc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/DahiChatney.jpg,
