label,nodeType,order,path,price,description,link ,imageLink,,,,,,,,,,,,,,,,
Rasmalai Cake 1Kg,ProductUnit,10,"Inventory,Food,Bakery,Cake,Vegeterian,Rasmalai Cake,",,,https://drive.google.com/file/d/1lm9BSxSW7SGmWSLgg0OpGTGpS07gQj4U/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RasmalaiCake1Kg.jpg,,,,,,,,,,,,,,,,
Mawa Cake 1Kg,ProductUnit,11,"Inventory,Food,Bakery,Cake,Vegeterian,Mawa Cake,",,,https://drive.google.com/file/d/1hPuUJ4Ml6gj6xODVE1y-kycufdFXAiME/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/MawaCake1Kg.jpg,,,,,,,,,,,,,,,,
Fruit Plum Cake 275gm,ProductUnit,12,"Inventory,Food,Bakery,Cake,Vegeterian,Fruit Plum Cake,",,,https://drive.google.com/file/d/1pu3fkfHM0b8ay-P0xSJmxIBsc7e8nfNz/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/FruitPlumCake275gm.jpg,,,,,,,,,,,,,,,,
Choco Chips Cake 1Kg,ProductUnit,13,"Inventory,Food,Bakery,Cake,Vegeterian,Choco Chips Cake,",,,https://drive.google.com/file/d/1XqkN-B67JebBLtT836G7BB0X6HEvI9I8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/ChocoChipsCake1Kg.jpg,,,,,,,,,,,,,,,,
Cream Roll Cake 1Kg,ProductUnit,14,"Inventory,Food,Bakery,Cake,Vegeterian,Cream Roll Cake,",,,https://drive.google.com/file/d/1IuO6es-cm02YMSaRAC4QRXoGkI9Zy1S4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/CreamRollCake1Kg.png,,,,,,,,,,,,,,,,
Tea Dipp Cake 1Kg,ProductUnit,15,"Inventory,Food,Bakery,Cake,Vegeterian,Tea Dipp Cake,",,,https://drive.google.com/file/d/1bZrkQCQYkFJTr1aH7rbsMXrRZGFZKQ_3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/TeaDippCake1Kg.jpg,,,,,,,,,,,,,,,,
Fruit Plum Cake 450gm,ProductUnit,16,"Inventory,Food,Bakery,Cake,Vegeterian,Fruit Plum Cake,",,,https://drive.google.com/file/d/1aH4hFGaK7ER2vbzRp3_P3yzyx8N4ZAQb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/FruitPlumCake450gm.jpg,,,,,,,,,,,,,,,,
Red Velvet Cake 1Kg,ProductUnit,17,"Inventory,Food,Bakery,Cake,Vegeterian,Red Velvet Cake,",,,https://drive.google.com/file/d/1RVwfo42BS9oBCbuxWmkJ7n6gifHSC_FH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RedVelvetCake1Kg.jpg,,,,,,,,,,,,,,,,
Hazelnut Chocolate Cake 1Kg,ProductUnit,18,"Inventory,Food,Bakery,Cake,Vegeterian,Hazelnut Chocolate Cake,",,,https://drive.google.com/file/d/1_MAFRv4ECna8W0ZwiynQwd1kXBjN2xFg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/HazelnutChocolateCake1Kg.png,,,,,,,,,,,,,,,,
Round Dutch Almond Cake Two Tier 1Kg,ProductUnit,19,"Inventory,Food,Bakery,Cake,Vegeterian,Round Dutch Almond Cake Two Tier,",,,https://drive.google.com/file/d/11dPVOUKgJa5vbVK3PFSFDX_G-3FwcylG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/bakery2/RoundDutchAlmondCakeTwoTier1Kg.jpg,,,,,,,,,,,,,,,,
