label,nodeType,order,path,price,ingredients,link,imageLink,description
Margritha Pizza,ProductType,12,"Inventory,Food,Restaurant,Pizza,Vegeterian,",150,"flour 3.75 cups,warm water ( 105°F) 1.5 cups,dry active yeast 2.25 tsp,
olive oil 4 tbsp,salt 2 tsp,sugar 1 tsp,cornmeal 1/2 cups,
onion sliced 1 nos,tomato sliced 1 nos,green chilli chopped 1 nos,
sweet corn boiled 1/4 cups",https://drive.google.com/file/d/1ltCBRXfdyjH8pEds6ZpXI9T0pl3caykI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MargrithaPizza.jpg,
Four Sesetion Pizza,ProductType,13,"Inventory,Food,Restaurant,Pizza,Vegeterian,",120,, ,,
Four Sesetion Pizza,ProductType,14,"Inventory,Food,Restaurant,Pizza,Vegeterian,",160,, ,,
Burger,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Burger.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burger,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Burger,",,,,,
Veg Burger,ProductType,3,"Inventory,Food,Restaurant,Burger,Vegeterian,",50,,https://drive.google.com/file/d/1d4T4ocGTOibUjikI_CZrc4fkIRChDq8d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Burger.jpg,
Veg Cheese Burger,ProductType,4,"Inventory,Food,Restaurant,Burger,Vegeterian,",60,,https://drive.google.com/file/d/1BRIGvcNMtmyGxtykXr10OQnq4woHNBxu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegCheeseBurger.jpg,
Paneer Burger,ProductType,5,"Inventory,Food,Restaurant,Burger,Vegeterian,",70,,https://drive.google.com/file/d/1zje18o_gk0sCo3Nt9PK7QexWDqEjCkvO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerBurger.jpg,
Pasta,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/Pasta.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pasta,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Pasta,",,,,,
Peni Pasta ( Red/White/Mix Saouce),ProductType,3,"Inventory,Food,Restaurant,Pasta,Vegeterian,Peni Pasta,",80,"Pasta 1 packet,Red chilly powder 1/2 teaspoon,Salt 1/2 teaspoon,
Onion 1,Tomato 1,Garam masala 1/2 teaspoon", ,,
Peni Pasta ( Red/White/Mix Saouce),ProductType,4,"Inventory,Food,Restaurant,Pasta,Vegeterian,Peni Pasta,",90,"Pasta 1 packet,Red chilly powder 1/2 teaspoon,Salt 1/2 teaspoon,
Onion 1,Tomato 1,Garam masala 1/2 teaspoon", ,,
Fivsi Pasta ( Red/ White/ Mix ),ProductType,5,"Inventory,Food,Restaurant,Pasta,Vegeterian,Fivsi Pasta,",80,"Pasta 250 gms,Onion chopped 1 nos,Tomatos chopped 2 nos,
Green chillis chopped 4 nos,Chopped Corainder leaves 1 bowls,
Oil 1 tbsp,Salt 1/2 tsp,Tomato sauce 1 tbsp", ,,
Fivsi Pasta ( Red/ White/ Mix ),ProductType,6,"Inventory,Food,Restaurant,Pasta,Vegeterian,Fivsi Pasta,",90,"Pasta 250 gms,Onion chopped 1 nos,Tomatos chopped 2 nos,
Green chillis chopped 4 nos,Chopped Corainder leaves 1 bowls,
Oil 1 tbsp,Salt 1/2 tsp,Tomato sauce 1 tbsp", ,,
Sandwich,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Sandwich.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Sandwich,",,,,,
Maxican Sandwich,ProductType,3,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",60,"Bread 5-6,Boiled potatoes 4,Salt 1 teaspoon,Red chilly powder 1/2 teaspoon,
Chilly flakes 1 teaspoon,Mix herbs 1/2 teaspoon,Mozeralla cheese 10-20 cubes,
Onion 1,Bread crumbs 1/2 cup,Butter 1 tablespoon",https://drive.google.com/file/d/1esdmQm7OBpv6MZPzQ4aO7Rg2a7wj3avd/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MaxicanSandwich.jpg,
Veg Sandwich,ProductType,4,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",30,"Bread slice 8 nos,Green chutney 2 tbsp,Boil potato ,peel and cut in round shape 2 nos,
Cucumber ,peel and cut in round shape 1 nos,Tomato, cut in round shape 2 nos,
Onion, peel and cut in round shape 2 nos,Butter 1 tbsp,Cheese slice 5-6 nos",https://drive.google.com/file/d/1PlGgNGtrT2Yat2aVQ8fMrdt-7q3J88A0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegSandwich.jpg,
Veg Cheese Sandwich Chilli Cheese Sandwich,ProductType,5,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",40,"Bread slices 6-8,Boiled potato slices 1 cup,Onion slices 1 cup,
Tomato slices 1 cup,Capsicum slices 1 cup,Grated cheese 2 tablespoons,
Butter 1 tablespoon,Green chutney for serving 1-2 tablespoons,
Black pepper powder 1/2 teaspoon",https://drive.google.com/file/d/1KlCypgGlfkfWa4r97T-zjW8RxTLTPgm2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Cheese-Sandwich-Chilli-Cheese-Sandwich.jpg,
Veg Cheese Grilled Sandwich,ProductType,6,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,"Bread slices 6-8,Boiled potato slices 1 cup,Onion slices 1 cup,
Tomato slices 1 cup,Capsicum slices 1 cup,Grated cheese 2 tablespoons,
Butter 1 tablespoon,Green chutney for serving 1-2 tablespoons,
Black pepper powder 1/2 teaspoon",https://drive.google.com/file/d/1KvXAGpgMwQFIu7fRr78iTtQNmJEDUBJ-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Cheese-Grilled-Sandwich.png,
Chilli Cheese Sandwich,ProductType,7,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",50,"1 slice white sandwich bread,1 serving Cream cheese and chives spread,
1 serving Mixed Herbs,2 - 3 slices of cold cut (smoked ham or roast beef),
1-2 slices of cheese,1 Green chilli",https://drive.google.com/file/d/1iH4NnBkzBSSt_L2QzUI96obVanmDfyqf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChilliCheeseSandwich.jpg,
Paneer Grilled Sandwich,ProductType,8,"Inventory,Food,Restaurant,Sandwich,Vegeterian,",70,"slices of brown bread 10-12 piece,potato, boiled & mashed 1 nos,
paneer, mashed 100 gms,fried onions 2 tsp,green chilies, chopped 1-2 gms,
coriander leaves, chopped 2-3 tbsp,salt 1/2 tsp,turmeric powder 1/2 tsp,
tomato, chopped 1 nos,coloured bell peppers, chopped 4-5 tbsp",https://drive.google.com/file/d/1hfUN6hLG6jDN3Zpvq0NbITg3e08UTA1x/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerGrilledSandwich.jpg,
