label,nodeType,order,path,price,link,imageLink,Swiggy,description
Veg Tadka,ProductType,53,"Inventory,Food,Restaurant,Entree,Vegeterian,",120,https://drive.google.com/file/d/12vWXuBjjCH922WY7TzgQBbGnehGUj5kp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegTadka.jpg,,
Veg Kolhapuri,ProductType,54,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1m1uzUXSxt9B7c1QZzLM8f5Xkfl5SnP3e/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegKolhapuri.jpg,120,
Methi Malai,ProductType,55,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1Wx_E7kNppsPojQhlyyMjjIUQNv_rEiUU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiMalai.jpg,,
Chinese,ProductClass,1,"Inventory,Food,Restaurant,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/Chinese.jpg,,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Chinese,",,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg,,
NonVegetarian ,ProductLine,3,"Inventory,Food,Restaurant,Chinese,",,,,,
Veg Manchurian,ProductType,4,"Inventory,Food,Restaurant,Chinese,Vegeterian,",80,https://drive.google.com/file/d/1JcRpKUkGtHAU_F6awJQH4SDEVFXNNJY_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegManchurian.jpg,180,
Veg Hakka Noodles,ProductType,5,"Inventory,Food,Restaurant,Chinese,Vegeterian,",80,https://drive.google.com/file/d/1Q90LHM1ZJtlXVlbMoWnysu0n9Ip0TJG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Hakka-Noodles.jpg,,
Chinese Bhel,ProductType,6,"Inventory,Food,Restaurant,Chinese,Vegeterian,",100,https://drive.google.com/file/d/1GPi9hn0ZkUeegyxQKlKo7r_UcsvbSsw4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChineseBhel.jpg,,
Chana Chilli,ProductType,7,"Inventory,Food,Restaurant,Chinese,Vegeterian,",100,https://drive.google.com/file/d/1YNDltsa5KWAs1klYgJSDUSiDjC_377yJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaChilli.jpg,,
Veg Spring Roll,ProductType,8,"Inventory,Food,Restaurant,Chinese,Vegeterian,",120,https://drive.google.com/file/d/1B6jABivt6vPzdMLxzUamh_sH58-CN1Nl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Spring-Roll.jpg,,
Veg Crispy,ProductType,9,"Inventory,Food,Restaurant,Chinese,Vegeterian,",120,https://drive.google.com/file/d/1eRoWy7sVeONn6q-umwbzYIj5GCmDsI26/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegCrispy.jpg,,
Paneer 65,ProductType,10,"Inventory,Food,Restaurant,Chinese,Vegeterian,",130,https://drive.google.com/file/d/18eQOtotfInWqsh70Rc6NLKcegEIaW-3Y/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Paneer65.jpg,190,
