label,nodeType,order,path,price,link,imageLink,description
Chana Masala,ProductType,24,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,
Chana Masala Full,ProductUnit,25,"Inventory,Food,Restaurant,Entree,Vegeterian,Chana Masala,",90,https://drive.google.com/file/d/1HBiQnJrteqapGnL6qmh0NxuU31EpVNse/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChannaMasala.jpg,
Chana Masala Half,ProductUnit,26,"Inventory,Food,Restaurant,Entree,Vegeterian,Chana Masala,",70,https://drive.google.com/file/d/1HBiQnJrteqapGnL6qmh0NxuU31EpVNse/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChannaMasala.jpg,
Roast Chana,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1hz028WzF7IFtzZ4hmMfxWmVoseTCZycN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RoastChana.jpg,
Roast Chana Full,ProductUnit,28,"Inventory,Food,Restaurant,Entree,Vegeterian,Roast Chana,",100,https://drive.google.com/file/d/1hz028WzF7IFtzZ4hmMfxWmVoseTCZycN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RoastChana.jpg,
Roast Chana Half,ProductUnit,29,"Inventory,Food,Restaurant,Entree,Vegeterian,Roast Chana,",80,https://drive.google.com/file/d/1hz028WzF7IFtzZ4hmMfxWmVoseTCZycN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RoastChana.jpg,
Roast Paneer,ProductType,30,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1TXl1vDzc5rhoaLrfSykAT1HRMQ45gciw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RoastPaneer.jpg,
Roast Paneer Full,ProductUnit,31,"Inventory,Food,Restaurant,Entree,Vegeterian,Roast Paneer,",150,https://drive.google.com/file/d/1TXl1vDzc5rhoaLrfSykAT1HRMQ45gciw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RoastPaneer.jpg,
Roast Paneer Half,ProductUnit,32,"Inventory,Food,Restaurant,Entree,Vegeterian,Roast Paneer,",100,https://drive.google.com/file/d/1TXl1vDzc5rhoaLrfSykAT1HRMQ45gciw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/RoastPaneer.jpg,
Mutter Paneer,ProductType,33,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1huDNxCZ-qNC4fo-BTry7L1bsN4vjlnfl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MutterPaneer.jpg,
