label,nodeType,order,path,price,link,imageLink,description
Machhi Dry,ProductType,28,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",150, ,,
Machhi Roast,ProductType,29,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",150,https://drive.google.com/file/d/1qedOCm-4KelA78HaV7WVzeFIaseAXz_b/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MachhiRoast.jpg,
Anda Biryani,ProductType,30,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",110,https://drive.google.com/file/d/1Tkt9O47bdUtzapPBwOkqlHnDPlXxZv2r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaBiryani.jpg,
Anda Biryani Full,ProductUnit,31,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Anda Biryani,",110,https://drive.google.com/file/d/1IQgSqD3VvIe7QyeN-qS9uds7j12w3SV7/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaBiryaniFull.jpg,
Anda Biryani Half,ProductUnit,32,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Anda Biryani,",80,https://drive.google.com/file/d/1IcCtm8jiRcwWmdv_cjDwxJAkKEZpqiBB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaBiryaniHalf.jpg,
Anda Curry,ProductType,33,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",120,https://drive.google.com/file/d/1BCryV9DFuzGTHFf0DaHehExwimD3aw2Z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaCurry.jpg,
Anda Masala,ProductType,34,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",140,https://drive.google.com/file/d/1ruyqh4BzDk0Hn3FZUODOaqkf6of1dh_p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/AndaMasala.jpg,
Chicken Handi,ProductType,35,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",700,https://drive.google.com/file/d/1RMADFPBuSEsBClMMjRRF3Ywu4mtb54pt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandi.jpg,
Chicken Handi Full,ProductUnit,36,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Chicken Handi,",700,https://drive.google.com/file/d/1LabfJ7U7HGWmo2mIPWym0Wm76D0yr7tH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiFull.jpg,
Chicken Handi Half,ProductUnit,37,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Chicken Handi,",450,https://drive.google.com/file/d/1XLzwK9SmXm48SjgSpen2LYnKWNg5f2Pv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenHandiHalf.jpg,
Chicken Biryani,ProductType,38,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",110,https://drive.google.com/file/d/1t_vJcJvBj1doCQPhohH0pwo72xfAG-wI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryani.jpg,
Chicken Biryani Full,ProductUnit,39,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Chicken Biryani,",110,https://drive.google.com/file/d/1cB4acCApo4z12zUML2oy6S9GRCDvT72p/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryaniFull.jpg,
Chicken Biryani Half,ProductUnit,40,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Chicken Biryani,",80,https://drive.google.com/file/d/1aloKeSRYqs7qHXeY2iQsIPyXg_uX_UtY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenBiryaniHalf.jpg,
Chicken Dam Murga,ProductType,41,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",750,https://drive.google.com/file/d/197qb5YPom7vHe7rwLwXJZPjPF2o_WCl0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/ChickenDamMurga.jpg,
Gavran Chicken,ProductType,42,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",900,https://drive.google.com/file/d/1xxy1oayiidsrr0We7EnNVgWt8SX53XH2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/GavranChicken.jpg,
Gavran Chicken Full,ProductUnit,43,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,Gavran Chicken,",900,https://drive.google.com/file/d/18q1VE0ZfaResBt-xp3f7KWZ0m1jg81Py/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/GavranChickenFull.jpg,
Chicken Curry,ProductType,44,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",130,https://drive.google.com/file/d/1dU5-tSB4k1PcuEGJMCv4sWBNDgUrp2y5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenCurry.jpg,
Chicken Dry,ProductType,45,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",150,https://drive.google.com/file/d/1iXjOeU-zvtHU2Kw3qdDQZ3_gsSmSY3k3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenDry.jpg,
Chicken 65,ProductType,46,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",80,https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg,
Chicken Roast,ProductType,47,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",150,https://drive.google.com/file/d/1_2ioZ2iJUQoMFs82njgSzHgNZddOQtlY/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenRoast.jpg,
Chicken Kantaki,ProductType,48,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",160,https://drive.google.com/file/d/16TVqnnObmBwYE1iaDi7FC1Wn8G293TW8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKantaki.jpg,
Chicken Manchurian,ProductType,49,"Inventory,Food,Restaurant,NonVegeterian Entree,NonVegeterian,",170,https://drive.google.com/file/d/1bda5swwEFGvjQlk_NAqTfTgkbaWFSX_V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenManchurian.jpg,
