label,nodeType,order,path,price,description,link,imageLink
Basli Garlic Paneer Tikka,ProductType,31,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1HFMo56cqV86I60_DMc2DR9ggkj4H8RIM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/BasliGarlicPaneerTikka.jpg
Hariyali Paneer Tikka,ProductType,32,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1L6gRf6X6kSyoKfdYO3mujGv_VrvD-paU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HariyaliPaneerTikka.jpg
Paneer Tikka,ProductType,33,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",295,,https://drive.google.com/file/d/1PJwE1sbtvBu26CpKRTyXSOwWl4B0uAHa/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerTikka.jpg
Red Curry,ProductType,34,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",300,,https://drive.google.com/file/d/1JXTwgTSZqJnF_rvG1oz9G0Iwt0CVx-ST/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220216/RedCurry.jpg
Green Curry,ProductType,35,"Inventory,Food,Restaurant,Veg Entree,Vegeterian,",300,,https://drive.google.com/file/d/1NIefOUHh-2pWJhr-vuI9pozIoltXFv0g/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/GreenCurry.jpg
Veg Noodles,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/11YHpTPQ5aPStb76GwxFCCKa5Btc_rhbO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Noodles.jpg
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Salad.jpg
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Noodles,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg
Schezwan Noodles,ProductType,4,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",250,,https://drive.google.com/file/d/18mRtY1WH0owVL-322PHRxXJadtxCVAmA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Schezwan-Noodles.jpg
Hakka Style Noodles,ProductType,5,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",250,,https://drive.google.com/file/d/1Zeetqp0TjCn_AfbHEf78jo_HJyR2qrbf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220228/HakkaStyleNoodles.jpg
Chilly Garlic Noodles,ProductType,6,"Inventory,Food,Restaurant,Veg Noodles,Vegeterian,",250,,https://drive.google.com/file/d/1UOIyuV65D2mm8KJH3FU37Ky3MY7I20He/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChillyGarlicNoodles.jpg
