label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy,Zomato
Chicken Mexican Burger,ProductType,5,"Inventory,Food,Restaurant,Burger,NonVegeterian,",49,,,https://drive.google.com/file/d/1nA6uumsTc7L4OYs8d6lEogZ43qhKDmhu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/ChickenMexicanBurger.jpg,75,
Chicken Seekh Burger,ProductType,6,"Inventory,Food,Restaurant,Burger,NonVegeterian,",59,,"Chicken boneless 250 gms,Ginger Pieces 1/2-1 inch,
garlic 6-8 nos,Green Chilly 6-8 nos,Whole Red Chilly 2-3 nos,Poppy Seeds 1 tsp,Sesame Seed 1 tsp,
Coriander Leaves 1/2 sprig,Salt 1 tsp,Oil 2 tbsp,
Green Chutney 2 tbsp",https://drive.google.com/file/d/1DIKOzZOzMwxS-jLSucTjoel6f1fCDxj5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenSeekhBurger.jpg,,
Chicken Tandoori Burger,ProductType,7,"Inventory,Food,Restaurant,Burger,NonVegeterian,",59,,,https://drive.google.com/file/d/1Jtqj8eWCYZ7mw5u4P7XY9grmTCWEPsQe/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/ChickenTandooriBurger2.jpg,90,
BH Special Chicken Double Burger,ProductType,8,"Inventory,Food,Restaurant,Burger,NonVegeterian,",79,,,https://drive.google.com/file/d/1h38sZfXr3gw4F5MY2lk34_lf2B-OgevX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/BHSpecialChickenDoubleBurger.jpg,,
Broasting,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://drive.google.com/file/d/1Gvg2Jn0g2jXbyGJ027lW3kbNPcweKYtm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food03022022/Broasting.jpg,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Broasting,",,,,,,,
Vegeterian,ProductLine,3,"Inventory,Food,Restaurant,Broasting,",,,,,,,
Chicken Nuggets 5pcs,ProductType,4,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",59,,"Chicken fillet (cut in strips) 1 kgs,Salt 1 tsp,
Chilli flakes 1 nos,Yogurt 1 tbsp,
Ginger Garlic paste 1 tbsp,tandoori masala 1/2 tsp,
Vinegar 1 tbsp,Coating:All purpose flour (maida) 1 cups,Bread Crumbs 1 cups,Eggs 2 nos,Milk 1/4 cups",https://drive.google.com/file/d/1f9dp7QOKQV6BZzY3daiYVbVoraHpvdyg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220127/ChickenNuggets5pcs.jpg,,
Chicken Nuggets 8Pcs,ProductType,5,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",79,,"Chicken fillet (cut in strips) 1 kgs,Salt 1 tsp,
Chilli flakes 1 nos,Yogurt 1 tbsp,Ginger Garlic paste 1 tbsp,tandoori masala 1/2 tsp,Vinegar 1 tbsp,
Coating:All purpose flour (maida) 1 cups,Bread Crumbs 1 cups,Eggs 2 nos,Milk 1/4 cups",https://drive.google.com/file/d/151IsZW2uGyHTmTiP0EQLMASuedSzS892/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/ChickenNuggets8Pcs2.jpg,,
Chicken Popcorn 8pcs,ProductType,6,"Inventory,Food,Restaurant,Broasting,NonVegeterian,",59,,"Chicken boneless 250 gms,All Purpose Flour 1 cups,
Pepper powder or as per taste 1/4 tsp,black salt or use normal salt 1 tbsp,Chilly powder 1 tbsp,Onion powder 1 tsp,garlic powder 1/2 tsp,egg 1 nos,
Milk or as required 1 cups,Oil for deep frying 1 cups,
crushed cornflakes 1 cups",https://drive.google.com/file/d/1JuPqLa8uW2ICvbNGhIlbC8cX7yis6D_V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/pendingInventoryImages/ChickenPopcorn8pcs2.jpg,,
