label,nodeType,order,path,price,link,imageLink,description
Gobi Rassa,ProductType,39,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/19rnZ3nlMo9NLlgduEaiV2LVx3B7F2M3V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiRassa.jpg,
Besan Tadka,ProductType,40,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,,,
Besan Simple,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,,,
Besan Veg,ProductType,42,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1-BoRj-Kc-wQQ7z0g94h0T22Vzx71haxh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BesanVeg.jpg,
Tava Besan,ProductType,43,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1MbSq56dDKdpsOzTy4oox3oHEGOtuULG0/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TavaBesan.jpg,
Shev Bhaji,ProductType,44,"Inventory,Food,Restaurant,Entree,Vegeterian,",90,https://drive.google.com/file/d/1-Iprfeqrb2krX2hW7Gw6pEN_1vSRJ4yX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Shev-Bhaji.jpg,
Chana Masala,ProductType,45,"Inventory,Food,Restaurant,Entree,Vegeterian,",100,https://drive.google.com/file/d/1nZdItXvChE8U5tIvcRPEw-xj1k3IGUsu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/ChanaMasala.jpg,
Gobi Hyderabad,ProductType,46,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1v2ZWnboPk86MsTkikANtR08mBCt481NU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GobiHyderabad.jpg,
Maratha Baigan,ProductType,47,"Inventory,Food,Restaurant,Entree,Vegeterian,",110,https://drive.google.com/file/d/1kwvco1zNBC2KKgSEbe9GRUebso4l44HN/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MarathaBaigan.jpg,
Malai Kofta,ProductType,48,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1VLPs06se6YOpnFqheEoxjS2W43ntezp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiKofta.jpg,
Kaju Curry,ProductType,49,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg,
Malai Methi,ProductType,50,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1dhqUgiPWFB4Bozg5t3S1IfQlu37efKWn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiMethi.jpg,
Kaju Mutter,ProductType,51,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1ymElrIuLS4bjSiXj5HmiQhEOXxNVIwAu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuMutter.jpg,
Mushroom Masala,ProductType,52,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,
Mushroom Hyderabadi,ProductType,53,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/19mhx12GpBHDFmHR1vQo4BBTndenIWpy6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomHyderabadi.jpg,
Mushroom Maratha,ProductType,54,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1AqqHvioA8ACjaPdC3nLhyXkoiIkpGKii/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomMaratha.jpg,
Veg Maratha,ProductType,55,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/11npxFNMHAT_8ZUmXoQfJPlwBvEI85GCn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Maratha.jpg,
Veg Mutter Kurma,ProductType,56,"Inventory,Food,Restaurant,Entree,Vegeterian,",140,https://drive.google.com/file/d/1MZpoUvfpnB_8gQ3y_X8MDfGLbCDCIaY3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Mutter-Kurma.jpg,
Methi Chaman,ProductType,57,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/1YDL_ZWxBeDWuL-Qo-GHM29lHVx48VGrf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MethiChaman.jpg,
