label,nodeType,order,path,price,description,link,imageLink,Zomato
Mushroom Chilly,ProductType,15,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,https://drive.google.com/file/d/1WAhzUSicYMIiq23onAGlgbbxsfYvizP5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomChilly.jpg,
Paneer Chilly dry,ProductType,16,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",140,,https://drive.google.com/file/d/1nTla9B6fd-E4jZKNY4fs-sNre_VRVJUj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChillyDry.jpg,
Paneer Manchurian Dry,ProductType,17,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",140,,https://drive.google.com/file/d/1iphxPADj136KiBhX4DvSmgVwW73AIPIR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerManchurianDry.jpg,180
Paneer Schezwan Dry,ProductType,18,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",160,,https://drive.google.com/file/d/18goGaU-d5OWbPOOToV0EzyYAODTmSgDJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220212/PaneerSchezwanDry.jpg,210
Veg Chilly Dry,ProductType,19,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",130,,https://drive.google.com/file/d/1aLzJZozy1kzfsFPjGVwbq7cl5WnOQqkB/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food20220217/VegChillyDry.jpg,170
Veg Manchurian Dry,ProductType,20,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",130,,https://drive.google.com/file/d/1WUVLy-4rg52XSvwqhUfVZYomOF7VhOB2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/veg-manchurian-dry.jpg,180
Veg Schezwan Dry,ProductType,21,"Inventory,Food,Restaurant,Veg Starters,Vegeterian,",140,,,,
Veg Soups,ProductClass,1,"Inventory,Food,Restaurant,",,,https://drive.google.com/file/d/12bf4DzJCrUBgVqvk6kCaQp_Y3jXidoRn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food2022022/VegSoups.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Restaurant,Veg Soups,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Restaurant,Veg Soups,",,,,,
Veg Manchow Soup,ProductType,4,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",90,,https://drive.google.com/file/d/1ZHfj80mG4nonkD938YcNcqpsbo76_3Bh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/vegManchowSoup.jpg,120
Veg Hot & Sour soup,ProductType,5,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",100,,https://drive.google.com/file/d/1qflrDTDVAq-39jgZpWoH-2bsNNsmbSOQ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/VegHotSourSoup.jpg,
Veg Noodles Soup,ProductType,6,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",100,,https://drive.google.com/file/d/10DUMjtrNxu0hNd5Qs19eZES33kSJTp2A/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegNoodlesSoup.jpg,
Mushroom Manchow Soup,ProductType,7,"Inventory,Food,Restaurant,Veg Soups,Vegeterian,",110,,https://drive.google.com/file/d/1nuHx2xe_XC3hrV8IEY3yKAHNchca2eQ5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/MushroomManchowSoup.jpg,140
