label,nodeType,order,path,price,ingredients,link,imageLink,description
Chicken Tandoori,ProductType,4,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,"Chicken   ,Hung Curd   ,Ginger Garlic Paste   tablespoon,Red Chili Powder   tablespoon,Garam Masala   tablespoon,Lemon Juice   tablespoon,Balck Pepper Powder   tablespoon",https://drive.google.com/file/d/1WlsvcyYyU9mZXDHlzoLVNwQ8JF_WAj5Q/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTandooriFull.jpg,
Khima Fry,ProductType,5,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,https://drive.google.com/file/d/1L_3N8to80YuFvicJR64EJmKxf5fazN15/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemafry.jpg,
Khima Masala,ProductType,6,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,,https://drive.google.com/file/d/1FN32J8VBYXjlJT5FmscH-r0df7JnKidA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemamasala.jpg,
Khima Khorma,ProductType,7,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,,https://drive.google.com/file/d/1UjxvENUamQME8u-L0KYKGmDvd0fiwG7d/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/kheemakorma.jpg,
Kaleji Fry,ProductType,8,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,"  liver,  water,  white vinegar,  salt,  chilli powder,  coriander powder,Â  turmeric powder,Â  cumin powder,  ginger garlic paste,  oil,Â  garam masala powder,Coriander leaves,Mint leaves,  water.",https://drive.google.com/file/d/18bqErXwY8cSHH_6HPVqM_IDa5q7XQYc-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KalejiFry.jpg,
Kalegi Masala,ProductType,9,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,,https://drive.google.com/file/d/10O8V3c8AlY4cjblRm_y4vLLwQQirm6u4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/KalegiMasala.jpg,
Kalegi Khorma,ProductType,10,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,,https://drive.google.com/file/d/1h8cX71ZbiS1krRQRSkTzltMP1xlnhHi2/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/Kalejikorma.jpg,
Mutton Fry,ProductType,11,"Inventory,Food,Restaurant,Entree,NonVegeterian,",60,,https://drive.google.com/file/d/19UlcaHpNTF7E8S6xFlTvhyUuq3L1fZAq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonFry.jpg,
Mutton Masala,ProductType,12,"Inventory,Food,Restaurant,Entree,NonVegeterian,",80,"  mutton washed and cut,  oil, onions finely sliced,  gingergarlic paste,  salt,  chilli powder red,  turmeric powder,  coriander powder,          cumin powder, tomatoes finely chopped, tomatoes finely chopped,  yogurt,          coriander leaves chopped,  mutton masala powder,          garam masala powder,",https://drive.google.com/file/d/1-4YOHkbknBQIIukm4yZwJM6f8unGYrqS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/MuttonMasala.jpg,
Mutton Khorma,ProductType,13,"Inventory,Food,Restaurant,Entree,NonVegeterian,",100,,https://drive.google.com/file/d/1awsY7OXyiVGl5hlf2899Vl5RV47_9-jf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-3/muttonkorma.jpg,
