label,nodeType,order,path,price,link,imageLink,desciption
Plain Rice,ProductType,3,"Inventory,Food,Restaurant,Rice,Vegeterian,",90,https://drive.google.com/file/d/18J_mJa06XUs-QW11tFlny9iB4N4MgBaj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Plain-Rice.jpg,
Jeera Rice,ProductType,4,"Inventory,Food,Restaurant,Rice,Vegeterian,",110,https://drive.google.com/file/d/1-GF04qtXF6mVP48_0ek2Qj07ZNbdnEES/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/JeeraRice.jpg,
Dal Khichdi,ProductType,5,"Inventory,Food,Restaurant,Rice,Vegeterian,",140,https://drive.google.com/file/d/1eYgIjQw-U3ZGT8GEPhcg9KZJWnc7BvLu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/DalKhichdi.jpg,
Masala Khichdi,ProductType,6,"Inventory,Food,Restaurant,Rice,Vegeterian,",160,https://drive.google.com/file/d/1V8pug1K0wFXz_Og1db1jVV_PkJjVlQ5i/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaKhichdi.jpg,
Masala Rice,ProductType,7,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1f42W8I8vF2MKOR1_NEpVKeDqUYYxbwXH/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MasalaRice.jpg,
Veg Fried Rice,ProductType,8,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1bz2y7h_zxW5FIwkPU1ouPFuPXrxVdyrI/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Fried-Rice.jpg,
Veg Pulav,ProductType,9,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1JVN_maOr1Clvt-SlU51QylwBcZng4liR/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegPulav.jpg,
Tawa Pulav,ProductType,10,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1FdguHo7pWWPWTUI1UKjpEDOa7DF1PTjk/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Pulav.jpg,
Hyderabadi Biryani,ProductType,11,"Inventory,Food,Restaurant,Rice,Vegeterian,",180,https://drive.google.com/file/d/1s1mIts8jTT_r47i4wHeb837ZpsrcMFnv/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/HyderabadichickenBiryani.jpg,
Curd Rice,ProductType,12,"Inventory,Food,Restaurant,Rice,Vegeterian,",150,https://drive.google.com/file/d/1vBvzMDzVFIOmHhoFGfSV2bWWfqhHbujJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/CurdRice.jpg,
