label,nodeType,order,path,price,description,link,imageLink,Swiggy
Grilled Spinach Corn Sandwich,ProductType,32,"Inventory,Food,Cafe,Sandwich,Vegeterian,",75,,https://drive.google.com/file/d/11kuAIv4V0bMSrw9_Q9075Rp9h0tL5Uzc/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledSpinachCornSandwich.jpg,
Grilled Masala Sandwich,ProductType,33,"Inventory,Food,Cafe,Sandwich,Vegeterian,",65,,https://drive.google.com/file/d/1SMsdNEI4yoxIO7CjsAr15vFbhgSG0RV-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledMasalaSandwich.jpg,
Grilled Mayo Spinach Sandwich,ProductType,34,"Inventory,Food,Cafe,Sandwich,Vegeterian,",90,,https://drive.google.com/file/d/1_xsMPw_rcxqgmDyo6HRCOWew4lhlEeoi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GrilledMayoSpinachSandwich.jpg,
Milkshakes,ProductClass,1,"Inventory,Food,Cafe,",,,https://drive.google.com/file/d/1eHh6pJTXRV9a5IOnx_w-MixJRI6CygrO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Milkshakes.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Milkshakes,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Milkshakes,",,,,,
Strawberry,ProductType,4,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",55,, ,,65
Mango,ProductType,5,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",55,,https://drive.google.com/file/d/19rFCjjqufhkfBycgRfC4BBdfT-ihyzi4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Mango.jpg,65
Black Current,ProductType,6,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",55,,https://drive.google.com/file/d/1wcMoHOq9vo6wPomKC12rxnAf_4SrxZZm/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BlackCurrent.jpg,65
Green Apple,ProductType,7,"Inventory,Food,Cafe,Milkshakes,Vegeterian,",55,,https://drive.google.com/file/d/1jI_uhNwJTFn5Mih8Zh5rkXPMLHeO7jDZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/GreenApple.jpg,65
