label,nodeType,order,path,price,description,ingredients,link,imageLink,Swiggy ,Zomato
Chicken Tandoori Half,ProductUnit,12,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Tandoori,",200,,"gm Chicken ,Hung Curd - / cup,Ginger Garlic Paste -  tablespoon,Red Chili Powder -  tablespoon,Garam Masala -  tablespoon,Lemon Juice -  tablespoon,Balck Pepper Powder - / tablespoon",https://drive.google.com/file/d/1SOqQCUJJweBBc-U9Auh5ahkIQbaIHhRn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenTandooriHalf.jpg,,200
Chicken Manchurian,ProductType,13,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",120,,"""gravy :garlic cloves - nos,onion roughly chopped  nos,
capsicum diced  nos,soya sauce  ,green chilli sauce  ,spring onions chopped  cups,cornflour mixed in  tbsp water  tbsp,chicken cubes  gms,maida - tbsp",https://drive.google.com/file/d/1bda5swwEFGvjQlk_NAqTfTgkbaWFSX_V/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenManchurian.jpg,,
Chicken Manchurian Full,ProductUnit,14,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Manchurian,",120,,"""gravy :garlic cloves - nos,onion roughly chopped  nos,
capsicum diced  nos,soya sauce  ,green chilli sauce  ,spring onions chopped  cups,cornflour mixed in  tbsp water  tbsp,chicken cubes  gms,maida - tbsp""",https://drive.google.com/file/d/1c43X8YDgvi-QTvwipTyUBd9VTmu5UsBt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/NonVegeterian/ChickenManchurianFull.jpg,,
Chicken Manchurian Half,ProductUnit,15,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Manchurian,",70,,"""gravy :garlic cloves - nos,onion roughly chopped  nos,
capsicum diced  nos,soya sauce  ,green chilli sauce  ,spring onions chopped  cups,cornflour mixed in  tbsp water  tbsp,chicken cubes  gms,maida - tbsp""",https://drive.google.com/file/d/1w7Gi7vKe_wRsVTatAShQpVXKSf2Vu201/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenManchurianHalf.jpg,,70
Chicken Taka Tak,ProductType,16,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",100,,"Chicken –  gms,Oil –  tblsp,Turmeric Powder –  ,Jeera Powder –  tblsp,Garam Masala Powder –  tblsp,Red Chilli Powder –  ,Anardana Powder,Tomato Puree –  gms,Tamarind Pulp –  tblsp,Lemon Juice –  ,Salt as per taste.",https://drive.google.com/file/d/17hcDWeg7hgwKuSyd2VAFjPO1AnsU2GC3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenTakaTak.jpg,,
Chicken Taka Tak Full,ProductUnit,17,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Taka Tak,",100,,"Chicken –  gms,Oil –  tblsp,Turmeric Powder –  ,Jeera Powder –  tblsp,Garam Masala Powder –  tblsp,Red Chilli Powder –  ,Anardana Powder,Tomato Puree –  gms,Tamarind Pulp –  tblsp,Lemon Juice –  ,Salt as per taste.",https://drive.google.com/file/d/13y9XxZXc-1MSEiCtKfRhpwtc08eVberT/view?usp=sharing,,,
Chicken Taka Tak Half,ProductUnit,18,"Inventory,Food,Restaurant,Chinese,NonVegeterian,Chicken Taka Tak,",50,,"Chicken –  gms,Oil –  tblsp,Turmeric Powder –  ,Jeera Powder –  tblsp,Garam Masala Powder –  tblsp,Red Chilli Powder –  ,Anardana Powder,Tomato Puree –  gms,Tamarind Pulp –  tblsp,Lemon Juice –  ,Salt as per taste.",https://drive.google.com/file/d/1vimqKXwQC91CMI5lVNQHocN_OUrHrOfD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenTakaTakHalf.jpg,,
Chicken Kantaki,ProductType,19,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",120,,,https://drive.google.com/file/d/16TVqnnObmBwYE1iaDi7FC1Wn8G293TW8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenKantaki.jpg,,120
Tangadi Kabab,ProductType,20,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",120,,,https://drive.google.com/file/d/1VSx_7mgI0e_eSW8oqG0gYl22-1GEVYLV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/TangadiKabab.jpg,,
Navabi Kabab,ProductType,21,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",140,,,https://drive.google.com/file/d/1_i2oRfr72EiJAMapIjmGlTgvBx7KTg5G/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/NavabiKabab.jpg,,
Banjara Kabab,ProductType,22,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",130,,#NAME?,https://drive.google.com/file/d/1ofKzGdcMzi2VhjLSFx-RWSnv6hLkagAG/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/BanjaraKabab.jpg,,130
Chicken Tikki,ProductType,23,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",150,,,https://drive.google.com/file/d/1orHgL1cC_W8Ds_KPkJwTbJhStTKN3kQE/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/ChickenTikki.jpg,,150
Pahadi Kabab,ProductType,24,"Inventory,Food,Restaurant,Chinese,NonVegeterian,",140,," gms Boneless Chicken,/ cup Chopped Coriander,/ cup Chopped Mint leaves, tbsp Chopped Ginger-garlic,- Green Chillies,-6 Black Peppercorns, tbsp Lemon Juice,Salt according to taste, tbsp Curd,/ cup Ghee,Chaat masala (optional).",https://drive.google.com/file/d/1pPxhB2Z6gRTk19vfrt50hoS1G6uNiyIl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/imgs-2/PahadiKabab.jpg,,140
