label,nodeType,order,path,price,description,link,imageLink,Swiggy
Paneer Pasanda,ProductType,36,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,https://drive.google.com/file/d/17Yu6KNCHcPsLQufrz0v7tdk_nlJECrZ3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerPasanda.jpg,
Paneer Handi,ProductType,37,"Inventory,Food,Restaurant,Main Course,Vegeterian,",200,,https://drive.google.com/file/d/16FIXd77bHP3EkwponZbxdiXpg0NC_-Vi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerHandi.jpg,
Paneer Kadai,ProductType,38,"Inventory,Food,Restaurant,Main Course,Vegeterian,",200,,https://drive.google.com/file/d/1XGINKnRA5noOl2-dVsUXFUaDbO_Zft62/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerKadai.jpg,
Paneer Chatpata,ProductType,39,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1f2BnH3LopWJiMTOcBVQClA84nrL8YHif/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerChatpata.jpg,
Paneer Silsila,ProductType,40,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1_WmRlp0jgEAzvmyN-NomNsvuqDvbJiv6/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/PaneerSilsila.jpg,
Paneer Bhurji,ProductType,41,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1LZZA3_svXkXtLnQWAZxfqenp_2-30QI-/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/PaneerBhurji.jpg,
Paneer Kasturi,ProductType,42,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,https://drive.google.com/file/d/1KVsK7V_B9IFUzMTFSOz4BKSNJB1B4Jmo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerKasturi.jpg,
Paneer Kalija,ProductType,43,"Inventory,Food,Restaurant,Main Course,Vegeterian,",240,,https://drive.google.com/file/d/1oZz5SXPdQZtpHz70HOVljlLtTzbywDwg/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/PaneerKalija.jpg,
Paneer Gold,ProductType,44,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,,,
Paneer Jafrani,ProductType,45,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,https://drive.google.com/file/d/1OUFogM9xsKeshLl-68FTbvumhSveVrlf/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/PaneerJafrani.jpg,
Paneer Zingari,ProductType,46,"Inventory,Food,Restaurant,Main Course,Vegeterian,",210,,,,
Paneer Chadgad,ProductType,47,"Inventory,Food,Restaurant,Main Course,Vegeterian,",220,,,,
Bhendi Masala,ProductType,48,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/19fqIuFOUUhUgkG8ydZ2ZF_cSaIi2c7DT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/BhendiMasala.jpg,
Bhendi Do Pyaza,ProductType,49,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/1NVvlCinyx1ktCmPZ7iyBWpYKcYxy1E0w/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/foodpendinglinks20220531/BhendiDoPyaza.jpg,
Bhendi Rajasthani,ProductType,50,"Inventory,Food,Restaurant,Main Course,Vegeterian,",170,,https://drive.google.com/file/d/17w0qzUEIUKJpi_-xNPkYuG8gAiJcHnjj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food01092022/BhendiRajasthani.jpg,
